distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
1.122716,0.008809,2,3.072062,-3.668466,-50.998104,-0.512025
1.126422,0.010281,2,3.068787,-3.670199,-51.001377,-0.513712
1.130127,0.012457,2,3.065511,-3.671931,-51.004649,-0.515400
1.133832,0.014692,2,3.062236,-3.673664,-51.007922,-0.517087
1.137538,0.017519,2,3.058961,-3.675396,-51.011194,-0.518775
1.141243,0.020429,2,3.055685,-3.677129,-51.014467,-0.520462
1.144948,0.023080,2,3.052410,-3.678861,-51.017740,-0.522150
1.148654,0.025378,2,3.049134,-3.680594,-51.021012,-0.523837
1.152359,0.027305,2,3.045859,-3.682326,-51.024285,-0.525525
1.156064,0.028943,2,3.042584,-3.684059,-51.027558,-0.527212
1.159770,0.030243,2,3.039308,-3.685791,-51.030830,-0.528900
1.163475,0.031555,2,3.036033,-3.687524,-51.034103,-0.530587
1.167180,0.033326,2,3.032758,-3.689256,-51.037376,-0.532275
1.170886,0.034000,2,3.029482,-3.690989,-51.040648,-0.533962
1.174591,0.033153,2,3.026207,-3.692721,-51.043921,-0.535650
1.178296,0.031801,2,3.022932,-3.694454,-51.047194,-0.537337
1.182002,0.030252,2,3.019656,-3.696186,-51.050466,-0.539025
1.185707,0.028099,2,3.016381,-3.697919,-51.053739,-0.540712
1.189412,0.026747,2,3.013106,-3.699651,-51.057012,-0.542400
1.193118,0.026037,2,3.009830,-3.701384,-51.060284,-0.544087
1.196823,0.025267,2,3.006555,-3.703116,-51.063557,-0.545775
1.200528,0.024808,2,3.003280,-3.704849,-51.066830,-0.547462
1.204234,0.024499,2,3.000004,-3.706581,-51.070102,-0.549150
1.207939,0.024000,2,2.996729,-3.708314,-51.073375,-0.550837
1.211644,0.023732,2,2.993453,-3.710046,-51.076648,-0.552525
1.215350,0.022915,2,2.990178,-3.711779,-51.079920,-0.554212
1.219055,0.021964,2,2.986903,-3.713511,-51.083193,-0.555900
1.222760,0.021080,2,2.983627,-3.715244,-51.086466,-0.557587
1.226466,0.020227,2,2.980352,-3.716976,-51.089738,-0.559275
1.230171,0.019571,2,2.977077,-3.718709,-51.093011,-0.560962
1.233876,0.019103,2,2.973801,-3.720441,-51.096284,-0.562650
1.237582,0.019091,2,2.970526,-3.722174,-51.099556,-0.564337
1.241287,0.019507,2,2.967251,-3.723906,-51.102829,-0.566025
1.244992,0.020223,2,2.963975,-3.725639,-51.106102,-0.567713
1.248698,0.021000,2,2.960700,-3.727371,-51.109374,-0.569400
1.252403,0.021000,2,2.957425,-3.729104,-51.112647,-0.571088
1.256108,0.021000,2,2.954149,-3.730836,-51.115920,-0.572775
1.259814,0.020073,2,2.950874,-3.732569,-51.119192,-0.574463
1.263519,0.018722,2,2.947598,-3.734301,-51.122465,-0.576150
1.267224,0.017266,2,2.944323,-3.736034,-51.125738,-0.577838
1.270930,0.015682,2,2.941048,-3.737766,-51.129010,-0.579525
1.274635,0.014972,2,2.937772,-3.739499,-51.132283,-0.581213
1.278340,0.015000,2,2.934497,-3.741231,-51.135556,-0.582900
1.282046,0.014998,2,2.931222,-3.742964,-51.138828,-0.584588
1.285751,0.015000,2,2.927946,-3.744696,-51.142101,-0.586275
1.289456,0.014172,2,2.924671,-3.746429,-51.145374,-0.587963
1.293162,0.013288,2,2.921396,-3.748161,-51.148646,-0.589650
1.296867,0.012404,2,2.918120,-3.749894,-51.151919,-0.591338
1.300572,0.011358,2,2.914845,-3.751626,-51.155191,-0.593025
1.304278,0.011000,2,2.911570,-3.753359,-51.158464,-0.594713
1.307983,0.010754,2,2.908294,-3.755091,-51.161737,-0.596400
1.311688,0.010249,2,2.905019,-3.756824,-51.165009,-0.598088
1.315394,0.009807,2,2.901744,-3.758556,-51.168282,-0.599775
1.319099,0.009036,2,2.898468,-3.760289,-51.171555,-0.601463
1.322804,0.009000,2,2.895193,-3.762021,-51.174827,-0.603150
1.326510,0.009000,2,2.891917,-3.763754,-51.178100,-0.604838
1.330215,0.009499,2,2.888642,-3.765486,-51.181373,-0.606525
